iter	Passed	Remaining
345	1664	3146
346	1671	3145
347	1676	3140
348	1681	3137
349	1685	3130
350	1691	3127
351	1695	3120
352	1712	3138
353	1716	3132
354	1721	3128
355	1726	3122
356	1733	3121
357	1737	3115
358	1743	3113
359	1747	3107
360	1753	3103
361	1758	3098
362	1763	3095
363	1768	3089
364	1775	3089
365	1780	3085
366	1786	3081
367	1791	3076
368	1796	3072
369	1801	3066
370	1806	3063
371	1810	3056
372	1816	3052
373	1820	3047
374	1826	3043
375	1830	3037
376	1836	3034
377	1841	3029
378	1847	3026
379	1851	3020
380	1857	3018
381	1862	3012
382	1868	3010
383	1873	3005
384	1879	3001
385	1884	2996
386	1890	2994
387	1894	2987
388	1900	2985
389	1904	2979
390	1910	2975
391	1914	2969
392	1921	2967
393	1925	2961
394	1931	2957
395	1935	2952
396	1941	2948
397	1945	2943
398	1951	2940
399	1955	2933
400	1960	2929
401	1964	2922
402	1970	2919
403	1975	2913
404	1981	2910
405	1985	2904
406	1991	2901
407	1995	2895
408	2000	2890
409	2003	2883
410	2009	2879
411	2013	2872
412	2018	2869
413	2023	2863
414	2028	2859
415	2032	2853
416	2037	2848
417	2041	2842
418	2046	2837
419	2050	2832
420	2057	2829
421	2061	2823
422	2067	2819
423	2071	2813
